Европа;Геормания;Берлин;В городе Ройтлинген есть улица, ширина которой составляет 31 см. За это она попала в Книгу рекордов Гиннеса как самая узкая в мире.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\germany.gif;;;;
;Великобритания;Лондон;Шотландия может похвастаться самым коротким авиарейсом в мире. Он длится 1 минуту 14 секунд с острова Вестра на остров Papa Westray.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\velikobritaniya.gif;;;;
;Франция;Париж;Слова «завтрак», «обед», «ужин», «еда» и все однокоренные и смежные по смыслу священны для французов. «Конкурировать» с этими словами могут только «регби», «велосипед», «футбол». И то, если на сытый желудок. Категорически нельзя звонить французу, когда он ест! Имейте то в виду. И это не шутка. Опоздание с обеда простят скорее, чем если застрял в пробке.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\france.gif;;;;
;Греция;Афины;В Греции живет самое большое количество видов диких животных в Европе. Здесь обитает 107 видов различных рыб, 240 видов птиц, 116 видов млекопитающих, а также 18 видов амфибий.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\greciya.gif;;;;
;Италия;Рим;В Европе есть всего три действующих вулкана: Этна, Стромболи и Везувий. Все они расположены на юге Италии. Интересно знать, что Этна – самый активный вулкан в мире. Он почти непрерывно извергался последние 3500 лет, а с 1999 года он ежедневно извергает лаву.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\italy.gif;;;;
Азия;Непал;Катманду;На территории Непала есть все климатические зоны, имеющиеся на Земле – от вечной мерзлоты до тропиков.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\nepal.gif;;;;
;Япония;Токио;В метро Токио столько людей, что специальные люди утрамбовывают пассажиров в вагоны. Метро здесь, кстати, частное, а не государственное, причём разным компаниям принадлежат разные его ветки.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\yapan.gif;;;;
;Индия;Нью-Дели;Шампунь был впервые придуман в Индии. Но не как коммерческий продукт, а как средство по уходу за волосами. Слово «Шампунь» происходит от санскритского «champu», что означает — массажировать.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\indiya.gif;;;;
;Армения;Ереван;Христианство распространилось в армянском царстве, ныне прекратившем свое существование, вскоре после смерти Иисуса, хотя лишь в начале IV века было принято в качестве государственной религии. Тем не менее, Армения сделала это раньше всех стран на планете.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\armeniya.gif;;;;
;Объединенные Арабские Эмираты;Абу-Даби;В ОАЭ очень хорошая социальная поддержка. За рождение сына государство выделяет семье 50 000 $. На свадьбу выделяют 19 000 $ и виллу, а зарплата госслужащего равна 10 000 $, но только для местных.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\oae.gif;;;;
Африка;Марокко;Рабат;Марокко – мировой лидер по производству марихуаны. При этом самим марокканцам курить гашиш запрещено.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D:\Курсовая работа\фраг\marocco.gif;;;;
